"experiment","version","interview_date","task","PROLIFIC_PID","workerId","identifier","first","trial_num","time_elapsed","reaction_time","trial_id","condition","choice","correct","confidence","cells","selected"
5,"sheep-and-wolf","10/31/2023","sheep",NA,"A10249252O9I20MRSOBVF","A10249252O9I20MRSOBVF_sheep","sheep",1,172881,1617.20000004768,184,"mirror","wolf",0,2,"CR","wolf"
5,"sheep-and-wolf","10/31/2023","sheep",NA,"A10249252O9I20MRSOBVF","A10249252O9I20MRSOBVF_sheep","sheep",2,179936,1097.5,171,"chase","sheep",1,4,"Hit","sheep"
5,"sheep-and-wolf","10/31/2023","sheep",NA,"A10249252O9I20MRSOBVF","A10249252O9I20MRSOBVF_sheep","sheep",3,186651,782.200000047684,172,"chase","sheep",1,4,"Hit","sheep"
5,"sheep-and-wolf","10/31/2023","sheep",NA,"A10249252O9I20MRSOBVF","A10249252O9I20MRSOBVF_sheep","sheep",4,196405,3756.70000004768,155,"mirror","sheep",1,1,"FA","sheep"
5,"sheep-and-wolf","10/31/2023","sheep",NA,"A10249252O9I20MRSOBVF","A10249252O9I20MRSOBVF_sheep","sheep",5,204478,2213.40000009537,240,"mirror","dist",0,1,"CR","dist6"
5,"sheep-and-wolf","10/31/2023","sheep",NA,"A10249252O9I20MRSOBVF","A10249252O9I20MRSOBVF_sheep","sheep",6,211565,1256.70000004768,167,"chase","sheep",1,1,"Hit","sheep"
5,"sheep-and-wolf","10/31/2023","sheep",NA,"A10249252O9I20MRSOBVF","A10249252O9I20MRSOBVF_sheep","sheep",7,218706,1095.29999995232,264,"mirror","dist",0,3,"CR","dist4"
5,"sheep-and-wolf","10/31/2023","sheep",NA,"A10249252O9I20MRSOBVF","A10249252O9I20MRSOBVF_sheep","sheep",8,225375,889.200000047684,241,"mirror","dist",0,3,"CR","dist4"
5,"sheep-and-wolf","10/31/2023","sheep",NA,"A10249252O9I20MRSOBVF","A10249252O9I20MRSOBVF_sheep","sheep",9,233270,2137.29999995232,262,"chase","dist",0,1,"Ms","dist1"
5,"sheep-and-wolf","10/31/2023","sheep",NA,"A10249252O9I20MRSOBVF","A10249252O9I20MRSOBVF_sheep","sheep",10,240343,890.799999952316,180,"chase","sheep",1,4,"Hit","sheep"
5,"sheep-and-wolf","10/31/2023","sheep",NA,"A10249252O9I20MRSOBVF","A10249252O9I20MRSOBVF_sheep","sheep",11,247131,1080.70000004768,154,"mirror","dist",0,2,"CR","dist4"
5,"sheep-and-wolf","10/31/2023","sheep",NA,"A10249252O9I20MRSOBVF","A10249252O9I20MRSOBVF_sheep","sheep",12,254120,959.299999952316,159,"chase","sheep",1,4,"Hit","sheep"
