"exp","mod","out","Estimate","score.value","p.value","coef","sig"
"Study 1","Paranoia","Detect",-2.00806983789963,-24.3851570604944,2.45779370102966e-131,"Condition[mirror]","***"
"Study 1","Paranoia","Detect",0.111581895327084,0.649024851435881,0.516322313247059,"Paranoia",""
"Study 1","Paranoia","Detect",0.827451744639991,2.78520174205084,0.00534944286316502,"Interaction","**"
"Study 2","Paranoia","Detect",-2.01884134319524,-25.3530785518555,8.31071726780643e-142,"Condition[mirror]","***"
"Study 2","Paranoia","Detect",0.0230525912787086,0.19921245631234,0.842096555978052,"Paranoia",""
"Study 2","Paranoia","Detect",0.251905721529508,1.45814501301598,0.144800576402765,"Interaction",""
"Study 2","Teleology","Detect",-2.4827318883194,-8.67237296973612,4.23206794006922e-18,"Condition[mirror]","***"
"Study 2","Teleology","Detect",0.0551125045624196,0.831417648282647,0.405737732600547,"Teleology",""
"Study 2","Teleology","Detect",0.185558312858884,1.8663689146127,0.061989769108242,"Interaction",""
"Studies 1 and 2","Paranoia","Detect",-2.01282024149227,-34.828168125431,9.11523053524213e-266,"Condition[mirror]","***"
"Studies 1 and 2","Paranoia","Detect",0.0674967907130105,0.721444044599683,0.470636356011752,"Paranoia",""
"Studies 1 and 2","Paranoia","Detect",0.403142688155753,2.64504887591551,0.00816791181942617,"Interaction","**"
"Study 2","Paranoia","Confidence",-0.37393181264412,-9.02430356534078,5.12385533224391e-15,"Condition[mirror]","***"
"Study 2","Paranoia","Confidence",-0.339159005520993,-2.28794321600789,0.0239862993484004,"Paranoia","*"
"Study 2","Paranoia","Confidence",0.157796039752921,1.7435427310999,0.0839088968497196,"Interaction",""
"Study 2","Teleology","Confidence",-0.129720815253254,-0.870526093037757,0.385837120809986,"Condition[mirror]",""
"Study 2","Teleology","Confidence",0.0914960279992444,1.05921085912324,0.291744581323291,"Teleology",""
"Study 2","Teleology","Confidence",-0.0759834589519362,-1.46282949281293,0.146252957737574,"Interaction",""
"Study 3","Task Type","Identification",-2.39359111969531,-30.5900322615927,1.66092685747057e-205,"Condition[mirror]","***"
"Study 3","Task Type","Identification",0.0916112955231833,0.907702029026707,0.364035671661816,"Task Type[wolf]",""
