"Parameter","Coefficient","CI","CI_low","CI_high","t","df_error","p","Std_Coefficient","Std_Coefficient_CI_low","Std_Coefficient_CI_high","Fit"
"(Intercept)",2.90854266187839,0.95,2.59012463607897,3.22696068767781,17.9410316778214,571,2.04994069131835e-57,3.3920128339746e-16,-0.0704890924067706,0.0704890924067712,NA
"correct C",-0.813491856905633,0.95,-1.17412762163739,-0.452856092173873,-4.43051321197269,571,1.12720893819827e-05,-0.222237396259678,-0.320759283936547,-0.123715508582809,NA
"correct M",-0.459978556835969,0.95,-1.48900039074921,0.569043277077271,-0.877975943923479,571,0.380326046625255,-0.0316513111755026,-0.102458721189594,0.0391560988385886,NA
"confidence C",-0.0874172947599451,0.95,-0.205888859850134,0.0310542703302433,-1.44928186150081,571,0.147807852856166,-0.0830045798931689,-0.195495849688252,0.0294866899019144,NA
"confidence M",0.348891526992995,0.95,0.241914563013844,0.455868490972146,6.4057468869282,571,3.1300225792918e-10,0.401803690204415,0.278602822404175,0.525004558004655,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1224.60375781588
"BIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250.74040378006
"R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.263292070505337
"R2 (adj.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25813124437928
"Sigma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.696301948256061
