version,var,type,factor,frequency,percentage,N,mean,sd,min,max
detect-chase,demo_age,1,,,,120,41.88333333,12.64391662,20,75
detect-chase,demo_sex,0,Female,47,39.16666667,,,,,
detect-chase,demo_sex,0,Male,73,60.83333333,,,,,
detect-chase,demo_sex,0,Prefer not to say,0,0,,,,,
detect-chase,survey_duration,1,,,,120,8.621388889,5.584128328,2.55,44.81666667
detect-chase,rgpts_refe,1,,,,120,3.175,4.844927175,0,22
detect-chase,rgpts_pers,1,,,,120,2.458333333,5.888167644,0,29
detect-chase,rgpts_para,0,high,9,7.5,,,,,
detect-chase,rgpts_para,0,low,111,92.5,,,,,
detect-chase,bpe,1,,,,0,NaN,,Inf,#NAME?
detect-chase,caps_total,1,,,,0,NaN,,Inf,#NAME?
detect-chase,caps_distress,1,,,,0,NaN,,Inf,#NAME?
detect-chase,caps_distracting,1,,,,0,NaN,,Inf,#NAME?
detect-chase,caps_hardly,1,,,,0,NaN,,Inf,#NAME?
detect-chase-confidence,demo_age,1,,,,114,38.78070175,13.06671701,20,69
detect-chase-confidence,demo_sex,0,Female,47,41.22807018,,,,,
detect-chase-confidence,demo_sex,0,Male,67,58.77192982,,,,,
detect-chase-confidence,demo_sex,0,Prefer not to say,0,0,,,,,
detect-chase-confidence,survey_duration,1,,,,114,11.78084795,4.765788454,3.616666667,32.25
detect-chase-confidence,rgpts_refe,1,,,,114,6.447368421,6.620018054,0,25
detect-chase-confidence,rgpts_pers,1,,,,114,5.464912281,8.137295135,0,35
detect-chase-confidence,rgpts_para,0,high,24,21.05263158,,,,,
detect-chase-confidence,rgpts_para,0,low,90,78.94736842,,,,,
detect-chase-confidence,bpe,1,,,,114,2.780336257,0.715321787,1.083333333,5
detect-chase-confidence,caps_total,1,,,,114,4.921052632,5.313440525,0,19
detect-chase-confidence,caps_distress,1,,,,114,12.21052632,15.86529227,0,73
detect-chase-confidence,caps_distracting,1,,,,114,13.57894737,17.02621339,0,74
detect-chase-confidence,caps_hardly,1,,,,114,11.35087719,14.15025717,0,48
detect-wolf,demo_age,1,,,,100,33.4,8.778992372,18,55
detect-wolf,demo_sex,0,Female,52,52,,,,,
detect-wolf,demo_sex,0,Male,47,47,,,,,
detect-wolf,demo_sex,0,Prefer not to say,1,1,,,,,
detect-wolf,survey_duration,1,,,,100,9.5335,4.749096727,1.7,35.71666667
detect-wolf,rgpts_refe,1,,,,100,5.72,6.402461648,0,25
detect-wolf,rgpts_pers,1,,,,100,4.59,7.315536256,0,29
detect-wolf,rgpts_para,0,high,14,14,,,,,
detect-wolf,rgpts_para,0,low,86,86,,,,,
detect-wolf,bpe,1,,,,98,2.68920068,0.76755347,1,4.541666667
