"net","dv","Relation","Post.mean","Cred.lb","Cred.ub"
"Expt. 4a","correct","BPE--Wolf",-0.33,-0.512,-0.119
"Expt. 4a","correct","BPE--Sheep",0.041,-0.199,0.275
"Expt. 4a","correct","Wolf--Sheep",0.548,0.355,0.705
"Expt. 4a","correct","BPE--Paranoia",0.218,-0.057,0.465
"Expt. 4a","correct","Wolf--Paranoia",-0.049,-0.332,0.252
"Expt. 4a","correct","Sheep--Paranoia",-0.448,-0.658,-0.192
"Expt. 4b","correct","BPE--Wolf",-0.151,-0.39,0.101
"Expt. 4b","correct","BPE--Sheep",0.064,-0.193,0.327
"Expt. 4b","correct","Wolf--Sheep",0.567,0.377,0.722
"Expt. 4b","correct","BPE--Paranoia",0.373,0.076,0.623
"Expt. 4b","correct","Wolf--Paranoia",0.018,-0.295,0.335
"Expt. 4b","correct","Sheep--Paranoia",-0.267,-0.541,0.038
"Expt. 4","correct","BPE--Wolf",-0.222,-0.373,-0.067
"Expt. 4","correct","BPE--Sheep",0.075,-0.094,0.244
"Expt. 4","correct","Wolf--Sheep",0.558,0.424,0.67
"Expt. 4","correct","BPE--Paranoia",0.36,0.163,0.538
"Expt. 4","correct","Wolf--Paranoia",-0.034,-0.248,0.183
"Expt. 4","correct","Sheep--Paranoia",-0.428,-0.593,-0.24
"Expt. 4a","confidence","BPE--Wolf",0.045,-0.176,0.258
"Expt. 4a","confidence","BPE--Sheep",0.101,-0.122,0.314
"Expt. 4a","confidence","Wolf--Sheep",0.803,0.706,0.876
"Expt. 4a","confidence","BPE--Paranoia",0.238,-0.027,0.478
"Expt. 4a","confidence","Wolf--Paranoia",0.105,-0.157,0.36
"Expt. 4a","confidence","Sheep--Paranoia",0.219,-0.047,0.464
"Expt. 4b","confidence","BPE--Wolf",0.006,-0.242,0.248
"Expt. 4b","confidence","BPE--Sheep",0.15,-0.117,0.39
"Expt. 4b","confidence","Wolf--Sheep",0.792,0.671,0.877
"Expt. 4b","confidence","BPE--Paranoia",0.194,-0.162,0.507
"Expt. 4b","confidence","Wolf--Paranoia",0.124,-0.226,0.46
"Expt. 4b","confidence","Sheep--Paranoia",0.179,-0.192,0.509
"Expt. 4","confidence","BPE--Wolf",0.029,-0.13,0.185
"Expt. 4","confidence","BPE--Sheep",0.099,-0.069,0.257
"Expt. 4","confidence","Wolf--Sheep",0.791,0.714,0.852
"Expt. 4","confidence","BPE--Paranoia",0.269,0.047,0.464
"Expt. 4","confidence","Wolf--Paranoia",0.084,-0.135,0.307
"Expt. 4","confidence","Sheep--Paranoia",0.279,0.052,0.481
